Time,CaSSavg,CaJSRavg,JRyRtot,PRyR_open,PRyR_ready,PNorm_mode,PnotVinact,PLType_open,CaToT2,PIto2_open,CaJSRtot,CaSStot
11.676,0.000253848,0.931243,1.1129e-05,0.000766667,0.3301,0.993667,0.906,0,11.031,0.00166667,0.000889333,5.99905
11.677,0.000256089,0.931396,1.11823e-05,0.000766667,0.3308,0.993667,0.9065,0,11.0308,0.00233333,0.000889226,5.99951
11.678,0.000263004,0.93154,1.26854e-05,0.000866667,0.331367,0.993833,0.906833,0,11.0305,0.00183333,0.000889649,5.99994
11.679,0.000256441,0.931684,1.1589e-05,0.0008,0.331867,0.993667,0.907167,0,11.0303,0.0015,0.000884017,6.00037
11.68,0.000259212,0.931826,1.20273e-05,0.000833333,0.3327,0.9935,0.907333,0,11.0301,0.0015,0.000882924,6.0008
11.681,0.00025292,0.931976,1.09172e-05,0.000766667,0.333133,0.993667,0.907833,0,11.0298,0.00133333,0.00087812,6.00124
11.682,0.00025152,0.932126,1.0833e-05,0.000766667,0.333733,0.993833,0.907833,0,11.0296,0.00116667,0.000876593,6.00169
11.683,0.000247455,0.932279,1.00434e-05,0.0007,0.334533,0.994167,0.908167,0,11.0293,0.00133333,0.000874901,6.00215
11.684,0.000241728,0.932438,9.14696e-06,0.000633333,0.335433,0.994,0.908333,0,11.0291,0.0015,0.000870132,6.00263
11.685,0.00023923,0.932596,8.56487e-06,0.0006,0.3361,0.994,0.908667,0,11.0289,0.0015,0.000866194,6.0031
11.686,0.000240989,0.932752,9.19454e-06,0.000633333,0.336867,0.994,0.909,0,11.0286,0.00133333,0.000864684,6.00357
11.687,0.000242026,0.932902,9.4057e-06,0.000633333,0.337633,0.994,0.909333,0,11.0284,0.00183333,0.000863325,6.00403
11.688,0.00024669,0.933045,1.04318e-05,0.0007,0.338067,0.994,0.91,0,11.0282,0.002,0.000865886,6.00446
11.689,0.0002501,0.933176,1.10136e-05,0.000733333,0.339,0.994167,0.910333,0,11.0279,0.00133333,0.00087132,6.00486
11.69,0.000254296,0.933304,1.20698e-05,0.0008,0.3397,0.994,0.910667,0,11.0277,0.00216667,0.000876926,6.00524
11.691,0.000254465,0.933429,1.19775e-05,0.0008,0.340833,0.994,0.910667,0,11.0275,0.002,0.000877022,6.00562
11.692,0.000254863,0.933552,1.19172e-05,0.0008,0.341667,0.994,0.911333,0,11.0272,0.002,0.0008775,6.00599
11.693,0.000254492,0.933677,1.20068e-05,0.0008,0.342433,0.994,0.911333,0,11.027,0.00183333,0.000876418,6.00636
11.694,0.000255966,0.933799,1.24863e-05,0.000833333,0.343267,0.994,0.911667,0,11.0268,0.00116667,0.000877349,6.00672
11.695,0.000263299,0.933909,1.39778e-05,0.000933333,0.344167,0.994333,0.911833,0,11.0265,0.00183333,0.00088328,6.00705
11.696,0.000268786,0.93401,1.50462e-05,0.001,0.344767,0.9945,0.9125,0,11.0263,0.002,0.000887933,6.00735
11.697,0.000268408,0.934107,1.49958e-05,0.001,0.345133,0.994167,0.912667,0,11.0261,0.00233333,0.000886644,6.00763
11.698,0.000270073,0.934206,1.54325e-05,0.00103333,0.345733,0.993667,0.913,0,11.0258,0.0015,0.000886632,6.00792
11.699,0.000272994,0.934299,1.64148e-05,0.0011,0.3463,0.993667,0.913,0,11.0256,0.00266667,0.000887817,6.00819
11.7,0.00028287,0.93438,1.77837e-05,0.0012,0.346733,0.993667,0.913167,0,11.0254,0.00266667,0.000892986,6.00843
11.701,0.000280904,0.934458,1.78068e-05,0.0012,0.347267,0.993333,0.913667,0,11.0251,0.00233333,0.000896093,6.00865
11.702,0.000298288,0.93452,2.08744e-05,0.0014,0.347867,0.993333,0.914167,0,11.0249,0.00183333,0.000910614,6.00883
11.703,0.000296098,0.934577,2.01615e-05,0.00136667,0.3485,0.993167,0.9145,0,11.0247,0.00233333,0.000911354,6.00898
11.704,0.00029,0.934644,1.91899e-05,0.0013,0.349333,0.992833,0.9145,0,11.0245,0.002,0.000909887,6.00917
11.705,0.00028084,0.934724,1.76923e-05,0.0012,0.349867,0.992667,0.914833,0,11.0242,0.001,0.000901346,6.0094
11.706,0.000292196,0.934797,1.96716e-05,0.00133333,0.350433,0.9925,0.915167,0,11.024,0.00166667,0.00090572,6.00961
11.707,0.000290237,0.934862,1.89881e-05,0.0013,0.351267,0.992333,0.915333,0,11.0238,0.002,0.000904333,6.0098
11.708,0.000285663,0.934938,1.91129e-05,0.0013,0.3518,0.992167,0.915833,0,11.0235,0.00183333,0.000898347,6.01001
11.709,0.000289981,0.935009,1.97169e-05,0.00133333,0.3523,0.992167,0.916167,0,11.0233,0.0015,0.000905026,6.01022
11.71,0.000298771,0.935068,2.10662e-05,0.00143333,0.353167,0.992167,0.916167,0,11.0231,0.00216667,0.000915717,6.01039
11.711,0.000298935,0.935124,2.10978e-05,0.00143333,0.354033,0.992333,0.9165,0,11.0229,0.00166667,0.000917931,6.01054
11.712,0.000294431,0.935181,2.00521e-05,0.00136667,0.355067,0.9925,0.917,0,11.0226,0.00166667,0.000915476,6.01071
11.713,0.000290925,0.935247,1.95386e-05,0.00133333,0.355633,0.9925,0.917,0,11.0224,0.00133333,0.000912579,6.01089
