Time,V,mNa,hNa,jNa,Nai,Ki,Cai,CaNSR,xKs,LTRPNCa,HTRPNCa,C0Kv43,C1Kv43,C2Kv43,C3Kv43,OKv43,CI0Kv43,CI1Kv43,CI2Kv43,CI3Kv43,OIKv43,C0Kv14,C1Kv14,C2Kv14,C3Kv14,OKv14,CI0Kv14,CI1Kv14,CI2Kv14,CI3Kv14,OIKv14,CaToT,C1Herg,C2Herg,C3Herg,OHerg,IHerg
10.021,22.137941,0.99951662,5.6158336e-09,0.037601367,10.661445,131.8519,0.00034884505,0.94413814,0.050033686,0.15063305,0.98281315,2.0289746e-07,2.7179373e-05,0.001351149,0.029368741,0.25524893,0,2.1912767e-08,1.4555461e-05,0.0049538609,0.70835069,0,6.9542685e-10,1.1345931e-06,0.00088167521,0.24968557,6.4796807e-10,-1.1534975e-06,1.2224976e-06,3.0020308e-05,0.74927255,11.033237,0.26964591,0.51402982,0.073745145,0.079469523,0.063109598
10.022,22.757433,0.99954767,5.1017597e-09,0.027560703,10.661334,131.85159,0.00038227461,0.94214097,0.054036373,0.15709957,0.9828761,1.4643813e-07,2.0666855e-05,0.00108274,0.024814921,0.22714125,0,1.8008027e-08,1.3035403e-05,0.0049091148,0.74133343,0,5.2383008e-10,8.8591561e-07,0.00073215081,0.22058051,6.0427138e-10,-1.1400049e-06,1.2080751e-06,2.9331104e-05,0.77852808,11.040332,0.25972065,0.51018953,0.072828102,0.0839642,0.073297524
10.023,23.298571,0.99957242,4.7030286e-09,0.020224141,10.661223,131.85131,0.00041599077,0.93970453,0.058048911,0.1643237,0.9829502,1.0802029e-07,1.5974072e-05,0.00087714156,0.021078924,0.20206486,0,1.5180043e-08,1.1863058e-05,0.0048722749,0.77039417,0,4.0779553e-10,7.0496224e-07,0.00061400503,0.19501363,5.7230428e-10,-1.1333689e-06,1.2009472e-06,2.8751331e-05,0.80421386,11.047074,0.24953777,0.50650251,0.072035802,0.088138038,0.083785879
10.024,23.909325,0.99959898,4.2870292e-09,0.014859173,10.661113,131.85106,0.00044952331,0.93686142,0.06207249,0.17223419,0.98303512,7.9464654e-08,1.2323683e-05,0.00070979811,0.017897714,0.17984044,0,1.2731217e-08,1.0730367e-05,0.0047860777,0.79605815,0,3.1689021e-10,5.5679066e-07,0.0005132556,0.17256171,5.3798698e-10,-1.1268201e-06,1.1939134e-06,2.7929481e-05,0.8267675,11.053528,0.23910348,0.50301378,0.071287851,0.092047436,0.094547452
10.025,24.486187,0.99962287,3.9195439e-09,0.010930812,10.661004,131.85083,0.00048317571,0.93363714,0.066105016,0.18076326,0.98313055,5.8713395e-08,9.539243e-06,0.0005757122,0.015216325,0.16010509,0,1.0764695e-08,9.7448662e-06,0.0046911311,0.81870771,0,2.4988586e-10,4.4149508e-07,0.00043006849,0.1528307,5.0499206e-10,-1.117441e-06,1.1838903e-06,2.7065675e-05,0.84658268,11.059673,0.22864327,0.49951462,0.070568329,0.095723775,0.10555001
10.026,24.929816,0.99964007,3.6573201e-09,0.008049406,10.660895,131.85062,0.00051661261,0.93006425,0.07014267,0.18985396,0.98323624,4.427828e-08,7.4978249e-06,0.00047172603,0.01300221,0.14251531,0,9.3472162e-09,9.0076036e-06,0.0046316011,0.83867792,0,2.0373455e-10,3.5657434e-07,0.0003638262,0.13547,4.8124018e-10,-1.1101271e-06,1.1760666e-06,2.637394e-05,0.8640104,11.065571,0.2184738,0.49571558,0.069868501,0.099188381,0.11675374
10.027,25.250277,0.99965199,3.4801728e-09,0.0059319784,10.660787,131.85044,0.00054909407,0.92618354,0.074178569,0.19943305,0.98335177,3.463804e-08,6.0568337e-06,0.00039357842,0.011207707,0.12678827,0,8.4081777e-09,8.5122694e-06,0.0046032899,0.85630787,0,1.337232e-10,2.9549662e-07,0.0003119329,0.12017383,4.6418995e-10,-1.1041713e-06,1.1697078e-06,2.5954796e-05,0.87935894,11.071188,0.20898076,0.49129458,0.069166843,0.10245699,0.12810082
10.028,25.614245,0.99966466,3.3078639e-09,0.0043742595,10.66068,131.85027,0.00058098203,0.92203383,0.078210533,0.20942301,0.9834766,2.7653633e-08,4.9680416e-06,0.0003317144,0.0097076859,0.11277959,0,7.6472138e-09,8.0818648e-06,0.004554399,0.87192885,0,1.2190248e-10,2.4687587e-07,0.00026862048,0.1066907,4.4889126e-10,-1.1011076e-06,1.1664243e-06,2.5571587e-05,0.89288581,11.076592,0.20017292,0.48630686,0.068419223,0.10554345,0.13955755
10.029,25.931451,0.99967629,3.1313795e-09,0.0032282399,10.660573,131.85012,0.00061130759,0.91766347,0.082241469,0.21973562,0.98361004,2.1888387e-08,4.0492076e-06,0.00027843053,0.008393136,0.10037734,0,6.885033e-09,7.6138845e-06,0.0045011139,0.88575361,0,1.1168997e-10,2.0432478e-07,0.00023034002,0.094812532,4.3195717e-10,-1.0953777e-06,1.1603101e-06,2.501254e-05,0.90480286,11.081759,0.19172984,0.48108344,0.067606316,0.10845258,0.15112783
10.03,26.106931,0.99968219,3.050511e-09,0.0023834855,10.660467,131.84998,0.0006395897,0.91311961,0.086263452,0.23027811,0.9837513,1.7984595e-08,3.3936237e-06,0.00023805689,0.0073223875,0.089290751,0,6.4810585e-09,7.3887227e-06,0.0044962338,0.89795709,0,1.0518755e-10,1.7466789e-07,0.00020080959,0.084327279,4.2375539e-10,-1.0916654e-06,1.156351e-06,2.4814943e-05,0.91531787,11.086708,0.18406966,0.47522035,0.066777031,0.1111964,0.16273656
