Time,INa,IKr,IKs,Ito1,IK1,IKp,INaCa,INaK,IpCa,ICab,INab,ICa,JDHPR,Jup,Jtrpn,Jtr,Jxfer,IKv43,IKv14,IKv14_K,IKv14_Na,Ito2,Istim,Itot
0.028,-1.15897e-08,0.354328,0.191885,2.1168,0.0380122,0.288746,0.176614,0.294779,0.0188273,-0.0204555,-0.0464115,-5.99309,0.000184343,0.000178459,0.0010623,0.000518666,0.00190381,1.74665,0.370142,0.372878,-0.00273542,2.5469,0,-0.0330689
0.029,-8.38784e-09,0.364206,0.202194,1.8731,0.0378495,0.289177,0.167724,0.294797,0.0192922,-0.0202099,-0.0463369,-5.96212,0.00018339,0.000186144,0.00110087,0.00054203,0.00195534,1.5452,0.327904,0.330319,-0.00241489,2.4868,0,-0.293527
0.03,-6.03939e-09,0.373373,0.212222,1.66394,0.0376864,0.289609,0.158915,0.294814,0.019718,-0.0199795,-0.0462617,-5.61919,0.000172842,0.000193276,0.00113323,0.000562668,0.0019643,1.37224,0.291703,0.293844,-0.00214081,2.69539,0,0.0602413
0.031,-4.60145e-09,0.381154,0.221517,1.47282,0.0382068,0.28823,0.147669,0.294751,0.0201029,-0.0198456,-0.0465013,-5.3063,0.000163218,0.00019983,0.0011558,0.000579633,0.00197385,1.21443,0.258389,0.260306,-0.00191744,2.95832,0,0.450126
0.032,-3.34987e-09,0.389942,0.231685,1.30365,0.0380103,0.288751,0.13895,0.294772,0.020469,-0.019634,-0.0464115,-5.49715,0.000169088,0.000206155,0.00117193,0.000593912,0.00198564,1.07397,0.229678,0.231375,-0.0016973,2.71627,0,-0.140696
0.033,-2.41298e-09,0.398107,0.241639,1.15868,0.0378147,0.289269,0.130265,0.294794,0.0208092,-0.0194322,-0.0463216,-5.2236,0.000160674,0.000212102,0.00118361,0.000606447,0.00199754,0.953754,0.204931,0.206439,-0.00150813,2.65714,0,-0.0608302
0.034,-1.80993e-09,0.405151,0.251003,1.02712,0.0381379,0.288413,0.119418,0.294754,0.0211267,-0.0192996,-0.0464703,-4.98391,0.000153301,0.000217728,0.0011891,0.000616711,0.00197213,0.844822,0.182295,0.183646,-0.0013508,2.84022,0,0.235662
0.035,-1.35744e-09,0.412089,0.260362,0.909461,0.0384511,0.287581,0.108782,0.294716,0.0214163,-0.0191773,-0.0466133,-4.97292,0.000152963,0.000222947,0.00118567,0.000623541,0.00195345,0.747218,0.162243,0.163453,-0.00121017,2.89608,0,0.190223
0.036,-1.05336e-09,0.4183,0.269112,0.803895,0.0391598,0.285691,0.0963216,0.294632,0.02169,-0.0191054,-0.0469324,-4.64949,0.000143015,0.000227933,0.00117858,0.000629121,0.00195343,0.659665,0.14423,0.145321,-0.00109177,2.57169,0,0.0849644
0.037,-7.97892e-10,0.424901,0.278139,0.710704,0.0396241,0.284447,0.0842402,0.294577,0.0219622,-0.0190026,-0.0471385,-4.68765,0.000144189,0.000232922,0.00117141,0.000634796,0.00197149,0.582198,0.128506,0.129488,-0.00098201,2.64551,0,0.0303041
0.038,-6.20337e-10,0.430618,0.286393,0.629067,0.0404793,0.282144,0.0699771,0.294477,0.0222272,-0.0189431,-0.0475119,-4.3876,0.000134959,0.000237806,0.00116543,0.000640728,0.00197126,0.514439,0.114628,0.115519,-0.000891116,2.91082,0,0.512147
0.039,-4.76174e-10,0.437011,0.295007,0.557189,0.0409882,0.280765,0.0568121,0.294418,0.0224823,-0.0188469,-0.0477304,-4.22414,0.000129931,0.000242556,0.00115619,0.000645381,0.00195867,0.454568,0.102621,0.103426,-0.000805807,2.61673,0,0.310686
0.04,-3.65062e-10,0.443115,0.303422,0.492054,0.0417389,0.278721,0.0422093,0.294333,0.0227273,-0.0187785,-0.048048,-4.3266,0.000133083,0.000247173,0.00114188,0.000648056,0.00194248,0.400367,0.091687,0.0924175,-0.000730494,2.82041,0,0.345301
0.041,-2.84213e-10,0.449025,0.311424,0.435867,0.0425413,0.276522,0.0271165,0.294243,0.0229599,-0.0187184,-0.0483814,-4.37888,0.000134691,0.000251588,0.00112697,0.000649938,0.00193778,0.353579,0.0822884,0.0829541,-0.000665671,2.78253,0,0.19625
0.042,-2.15808e-10,0.455288,0.319734,0.385773,0.0431789,0.274764,0.0121514,0.294172,0.0231872,-0.01864,-0.0486419,-4.08824,0.000125751,0.000255943,0.00110891,0.000650378,0.00190159,0.311815,0.0739582,0.0745636,-0.000605433,2.85025,0,0.502974
0.043,-1.68254e-10,0.46102,0.327356,0.341886,0.0441317,0.27212,-0.00400519,0.294067,0.0233946,-0.018602,-0.0490243,-3.84025,0.000118123,0.000259967,0.00108598,0.00064885,0.00186211,0.275257,0.0666288,0.0671838,-0.000555005,2.58788,0,0.439973
0.044,-1.3179e-10,0.46692,0.334848,0.303139,0.0450966,0.269421,-0.0203995,0.293963,0.0235909,-0.0185677,-0.0494034,-4.04142,0.000124311,0.000263811,0.00105993,0.000646286,0.00184832,0.242948,0.0601908,0.0607009,-0.000510081,2.6095,0,0.216686
0.045,-1.02601e-10,0.47287,0.342168,0.268804,0.0461426,0.266472,-0.0378989,0.293851,0.023785,-0.0185378,-0.0498055,-3.99213,0.000122795,0.000267627,0.00103453,0.000643507,0.00182023,0.214317,0.0544875,0.0549578,-0.000470234,2.73542,0,0.351139
0.046,-7.98101e-11,0.479033,0.34942,0.238512,0.0471813,0.263519,-0.0558134,0.293742,0.023972,-0.0185068,-0.0501961,-3.99514,0.000122887,0.000271332,0.0010075,0.000639771,0.00178663,0.189038,0.0494734,0.049908,-0.000434563,2.78091,0,0.356637
0.047,-6.08775e-11,0.485752,0.356982,0.212614,0.0478265,0.261673,-0.071823,0.293674,0.0241453,-0.0184441,-0.0504346,-3.94352,0.0001213,0.000274797,0.000977382,0.000634558,0.0017444,0.167371,0.0452432,0.0456449,-0.000401702,2.55232,0,0.150763
0.048,-4.59352e-11,0.492321,0.364545,0.189699,0.0484846,0.259782,-0.0881701,0.293606,0.024311,-0.0183845,-0.0506746,-3.84974,0.000118415,0.000278138,0.000944831,0.000628488,0.00170688,0.148213,0.0414859,0.0418582,-0.000372345,2.48851,0,0.154287
0.049,-3.49622e-11,0.498698,0.371892,0.169672,0.0491897,0.257745,-0.104989,0.293534,0.0244692,-0.0183313,-0.0509282,-3.83356,0.000117917,0.000281345,0.000912366,0.000622378,0.00167793,0.131471,0.0382007,0.0385474,-0.000346792,2.47642,0,0.133811
0.05,-2.68053e-11,0.504756,0.378831,0.151984,0.0501037,0.255091,-0.123561,0.293441,0.0246259,-0.0182944,-0.0512518,-3.65251,0.000112348,0.000284523,0.000882728,0.000616849,0.00166786,0.116703,0.035281,0.0356059,-0.000324974,2.56412,0,0.377336
0.051,-2.10818e-11,0.510421,0.385074,0.136109,0.0514622,0.251116,-0.145038,0.293306,0.0247804,-0.0182937,-0.0517221,-3.69269,0.000113584,0.000287664,0.000854688,0.000611867,0.00163814,0.103483,0.0326256,0.0329325,-0.000306916,2.64303,0,0.387556
0.052,-1.6462e-11,0.516668,0.391314,0.122179,0.0527327,0.24737,-0.166867,0.293181,0.024932,-0.0182821,-0.0521512,-3.54453,0.000109027,0.000290756,0.000827944,0.000607221,0.00162226,0.0918642,0.030315,0.0306057,-0.000290702,2.64639,0,0.51294
0.053,-1.31613e-11,0.522819,0.396841,0.109839,0.0543923,0.242437,-0.191075,0.293021,0.025078,-0.0183016,-0.0526967,-3.42195,0.000105256,0.000293748,0.000801785,0.000602741,0.00159581,0.0816002,0.0282386,0.0285161,-0.000277459,2.5494,0,0.509806
